5019	J. Kim	62	10	CS 253, CS 497R, CS 598R, CS 599R, CS 799R, ECON 112, ECON 212, ECON 220, ECON 397R, ECON 526, ECON 599R, FILM 102, FILM 285, FILM 485, OAM 331	750:Jinsook Kim [dept=1, nonres=2, any=2]; 546:Jong Kim [dept=1, nonres=2, any=2]; 1405:John Kim [dept=1, nonres=1, any=1]; 418:Joon-Seok Kim [dept=1, nonres=1, any=1]; 545:Jung Jae Kim [dept=1, nonres=1, any=1]; 4108:Jeong-Ho Kim [dept=1, nonres=0, any=0]; 4239:Jennie Yim [dept=0, nonres=0, any=0]; 1304:Jeongwoon Kim [dept=0, nonres=0, any=0]; 2347:Jiwon Kim [dept=0, nonres=0, any=0]; 535:Juhee Kim [dept=0, nonres=0, any=0]
4974	Y. Wang	26	9	CS 598R, CS 599R, CS 799R, ECON 101, ECON 112, ECON 397R, MATH 250, MATH 497R, MATH 597R, MATH 799R	529:Yuki Wang [dept=1, nonres=2, any=2]; 1113:Yiran Wang [dept=1, nonres=1, any=1]; 445:Yun Wang [dept=1, nonres=0, any=1]; 4855:Yang [dept=1, nonres=0, any=0]; 360:Yao Wang [dept=0, nonres=0, any=0]; 1927:Yih-Ming Yang [dept=0, nonres=0, any=0]; 2368:Young Jang [dept=0, nonres=0, any=0]; 2876:Yuan Wang [dept=0, nonres=0, any=0]; 4117:Yun Hang [dept=0, nonres=0, any=0]
4714	E. Lonsdorf	24	2	ANT 497R, ANT 797R, ANT 798R, ENVS 236, ENVS 299R, ENVS 399R, ENVS 491, ENVS 494R, ENVS 495A, ENVS 495BW, ENVS 498R	681:Eric Lonsdorf [dept=1, nonres=1, any=2]; 72:Elizabeth Lonsdorf [dept=1, nonres=0, any=1]
5044	X. Yang	17	3	CS 598R, CS 599R, CS 799R, SOC 498R	430:Xiaofeng Yang [dept=1, nonres=0, any=3]; 1590:Xinxin Yang [dept=1, nonres=0, any=1]; 3287:Xiaoda Wang [dept=0, nonres=0, any=0]
4642	D. Stewart	12	2	AAS 325, ARAB 101, ICIVS 798R, ICIVS 799R, MTS 650R, REL 325, THM 600	108:Devin Stewart [dept=3, nonres=1, any=3]; 1954:Dianne Stewart [dept=2, nonres=0, any=0]
5249	M. Chung	12	2	EPI 798R, EPI 799R, MATH 495BW, MATH 597R	1120:Matthias Chung [dept=1, nonres=0, any=1]; 721:Michael Chung [dept=1, nonres=0, any=1]
5297	B. Lee	9	4	FIN 320	2121:Brian Jonghwan Lee [dept=1, nonres=1, any=1]; 3581:Brian Lee [dept=1, nonres=1, any=1]; 3080:Beatrice Lee [dept=0, nonres=0, any=0]; 2164:Bomi Lee [dept=0, nonres=0, any=0]
7039	C. Crais	9	2	HIST 799R, TATT 605HIST	2018:Clifton C Crais [dept=1, nonres=0, any=0]; 7561:Crais [dept=1, nonres=0, any=0]
5629	M. Manetta	8	2	MATH 212, MATH 495BW, MATH 495RW	6839:Manetta [dept=1, nonres=1, any=1]; 1103:Manuela Manetta [dept=1, nonres=1, any=1]
5589	J. Witte Jr.	7	5	LAW 580B, LAW 920, LAW 930, LAW 945	972:John Witte Jr. [dept=1, nonres=2, any=2]; 4284:James B Hughes Jr. [dept=1, nonres=0, any=0]; 2071:James Abbington Jr. [dept=0, nonres=0, any=0]; 3784:James Banaski, Jr. [dept=0, nonres=0, any=0]; 3595:James R Hall Jr. [dept=0, nonres=0, any=0]
5622	R. Roth Jr.	7	2	MATH 330, MATH 346, MATH 497R	1112:Robert Roth Jr. [dept=1, nonres=1, any=2]; 7742:Roth Jr. [dept=1, nonres=0, any=0]
6194	S. Shah	7	5	ACT 200, ACT_OX 200, EPI 798R	35:Satish Shah [dept=1, nonres=1, any=1]; 713:Sarita Shah [dept=1, nonres=0, any=0]; 5242:Shah [dept=0, nonres=0, any=0]; 1104:Shikhar Shah [dept=0, nonres=0, any=0]; 4047:Shikha Shah [dept=0, nonres=0, any=0]
2035	C Jean Campbell	6	2	ARTHIST 242, ARTHIST 349RW, ARTHIST 597R, ARTHIST 749R, ARTHIST 769L	7057:Campbell [dept=0, nonres=0, any=0]; 376:Celia Campbell [dept=0, nonres=0, any=0]
5855	D. Lewis	6	2	BUS 799R	2381:Demetrius Lewis [dept=0, nonres=0, any=0]; 1318:Dominique Lewis [dept=0, nonres=0, any=0]
5800	R. Hamilton	6	2	MKT 340, MKT 345, MKT 540	2596:Ryan Hamilton [dept=1, nonres=2, any=2]; 2497:Rachel Hamilton [dept=1, nonres=0, any=0]
